ProductKey,sku,product_name,old_type,subcategory,category,department,product_family,meta_code,meta_mapped_by,meta_reason
1,42081001,Jambalaya Rice Mix,Rice/Rice Mix,Rice,Rice,Starchy Foods,Food,321,AU,Character match with Mix and Rice
2,42082001,Jambalaya Rice Mix,Rice/Rice Mix,Rice,Rice,Starchy Foods,Food,321,AU,Character match with Mix and Rice
3,42083001,Guacamole Regular,,Dips,Dips,Snack Foods,Food,1101,RK,Yucatan Guacamole mapped to Dips
4,42084001,Coffee Original Blend,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,162,SJ,Remaining Match for Coffee
5,42085001,GoGurt Variety Pack,Yogurt,Yogurt,Yogurt,Dairy,Food,1,AU,Mapped from old item type into new subcategory
6,42086001,Italian Dressing,Salad Dressing,Sauces,Sauces,Baking Goods,Food,101,SJ,dressing character match as a sauce
7,42087001,Cheeseburger Heat & Serve Sliders,,TV Dinner,TV Dinner,Frozen Foods,Food,291,AU,Comparison against set of known frozen entree manufacturers and verified by hand
8,42088001,Choice Cuts Poultry,Pet Food,Pet Food,Pet Food,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
9,42089001,Farmers Pick Concord Grape,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
10,42090001,Juice Red Grape,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
11,42091001,Cereal Whole Grain Biscuit,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
12,42092001,Shells & Cheese Microwave Cup,Mac & Cheese,Pasta,Pasta,Starchy Foods,Food,351,AU,Mac and Cheese mapped to Pasta
13,42093001,Shells & Cheese Original,Mac & Cheese,Pasta,Pasta,Starchy Foods,Food,351,AU,Mac and Cheese mapped to Pasta
14,42094001,Splash Berry Blend,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
15,42095001,Splash Mango Peach,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
16,42096001,V-Fusion Berry,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
17,42097001,V-Fusion Pomegranate Blueberry,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
18,42098001,V-Fusion Refreshers Peach Strawberry,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
19,42099001,Whole Grain Original Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
20,42100001,Iced Tea Lemon,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
21,42101001,Orange Juice Some Pulp,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
22,42102001,Trop50 Calcium,Juice,Juice,Juice,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
23,42103001,Tri-State Almonds ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
24,42104001,Tri-State Asparagus ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
25,42105001,Tri-State Baby Onion ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
26,42106001,Tri-State Beets ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
27,42107001,Tri-State Broccoli ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
28,42108001,Tri-State Canned Peanuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
29,42109001,Tri-State Cantelope ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
30,42110001,Tri-State Cauliflower ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
31,42111001,Tri-State Corn on the Cob ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
32,42112001,Tri-State Dried Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
33,42113001,Tri-State Elephant Garlic ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
34,42114001,Tri-State Fancy Plums ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
35,42115001,Tri-State Firm Tofu ,Tofu,Tofu,Tofu,Produce,Food,1,AU,Mapped from old item type into new subcategory
36,42116001,Tri-State Fresh Lima Beans ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
37,42117001,Tri-State Fuji Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
38,42118001,Tri-State Garlic ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
39,42119001,Tri-State Golden Delcious Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
40,42120001,Tri-State Green Pepper ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
41,42121001,Tri-State Honey Dew ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
42,42122001,Tri-State Lemons ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
43,42123001,Tri-State Lettuce ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
44,42124001,Tri-State Limes ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
45,42125001,Tri-State Macintosh Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
46,42126001,Tri-State Mandarin Oranges ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
47,42127001,Tri-State Mixed Nuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
48,42128001,Tri-State Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
49,42129001,Tri-State New Potatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
50,42130001,Tri-State Onions ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
51,42131001,Tri-State Oranges ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
52,42132001,Tri-State Party Nuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
53,42133001,Tri-State Peaches ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
54,42134001,Tri-State Plums ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
55,42135001,Tri-State Potatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
56,42136001,Tri-State Prepared Salad ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
57,42137001,Tri-State Red Delcious Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
58,42138001,Tri-State Red Pepper ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
59,42139001,Tri-State Shitake Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
60,42140001,Tri-State Squash ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
61,42141001,Tri-State Summer Squash ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
62,42142001,Tri-State Sweet Onion ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
63,42143001,Tri-State Sweet Peas ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
64,42144001,Tri-State Tangerines ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
65,42145001,Tri-State Tomatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
66,42146001,Tri-State Walnuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
67,42147001,Toucan Canned Mixed Fruit ,Canned Fruit,Canned Fruit,Canned Fruit,Canned Products,Food,1,AU,Mapped from old item type into new subcategory
68,42148001,Toucan Canned Peaches ,Canned Fruit,Canned Fruit,Canned Fruit,Canned Products,Food,1,AU,Mapped from old item type into new subcategory
69,42149001,Diapers Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
70,42150001,Diapers Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
71,42151001,Diapers Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
72,42152001,Diapers Size 4,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
73,42153001,Diapers Size 4,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
74,42154001,Diapers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
75,42155001,Diapers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
76,42156001,Tip Top Lox ,Fresh Fish,Fresh Fish,Fresh Fish,Seafood,Food,1,AU,Mapped from old item type into new subcategory
77,42157001,Thresher Malted Milk Balls ,Chocolate Candy,Chocolate Candy,Chocolate Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
78,42158001,Thresher Mint Chocolate Bar ,Chocolate Candy,Chocolate Candy,Chocolate Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
79,42159001,Thresher Mints ,Hard Candy,Hard Candy,Hard Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
80,42160001,Thresher Semi-Sweet Chocolate Bar ,Chocolate Candy,Chocolate Candy,Chocolate Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
81,42161001,Thresher Spicy Mints ,Hard Candy,Hard Candy,Hard Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
82,42162001,Thresher Tasty Candy Bar ,Chocolate Candy,Chocolate Candy,Chocolate Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
83,42163001,Thresher White Chocolate Bar ,Chocolate Candy,Chocolate Candy,Chocolate Candy,Snacks,Food,1,AU,Mapped from old item type into new subcategory
84,42164001,Bagel Thins 100% Whole Wheat,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
85,42165001,Bagel Thins Cinnamon Raisin,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
86,42166001,Bagel Thins Everything,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
87,42167001,Bagel Thins Plain,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
88,42168001,Bagels 100% Whole Wheat Mini,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
89,42169001,Bagels Blueberry,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
90,42170001,Bagels Cinnamon Raisin,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
91,42171001,Bagels Cinnamon Raisin Mini,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
92,42172001,Bagels Everything,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
93,42173001,Bagels Hearty Grains Whole Wheat,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
94,42174001,Bagels Plain,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
95,42175001,Bagels Plain Mini,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
96,42176001,Bagels Plain Whole Grain,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
97,42177001,English Muffins Double Fiber Honey Wheat,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
98,42178001,English Muffins Hearty Grains 100% Whole Wheat,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
99,42179001,English Muffins Multi Grain Light,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
100,42180001,English Muffins Original,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
101,42181001,English Muffins Original,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
102,42182001,English Muffins Original Whole Grain With Omega 3,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
103,42183001,English Muffins Raisin,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
104,42184001,English Muffins Triple Health,Baked Goods Other than Bread,Bagels,Bagels,Baked Goods,Food,51,AU,All Thomas Products are Bagels
105,42185001,Tell Tale Almonds ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
106,42186001,Tell Tale Asparagus ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
107,42187001,Tell Tale Baby Onion ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
108,42188001,Tell Tale Beets ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
109,42189001,Tell Tale Broccoli ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
110,42190001,Tell Tale Canned Peanuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
111,42191001,Tell Tale Cantelope ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
112,42192001,Tell Tale Cauliflower ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
113,42193001,Tell Tale Corn on the Cob ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
114,42194001,Tell Tale Dried Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
115,42195001,Tell Tale Elephant Garlic ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
116,42196001,Tell Tale Fancy Plums ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
117,42197001,Tell Tale Firm Tofu ,Tofu,Tofu,Tofu,Produce,Food,1,AU,Mapped from old item type into new subcategory
118,42198001,Tell Tale Fresh Lima Beans ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
119,42199001,Tell Tale Fuji Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
120,42200001,Tell Tale Garlic ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
121,42201001,Tell Tale Golden Delcious Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
122,42202001,Tell Tale Green Pepper ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
123,42203001,Tell Tale Honey Dew ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
124,42204001,Tell Tale Lemons ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
125,42205001,Tell Tale Lettuce ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
126,42206001,Tell Tale Limes ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
127,42207001,Tell Tale Macintosh Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
128,42208001,Tell Tale Mandarin Oranges ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
129,42209001,Tell Tale Mixed Nuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
130,42210001,Tell Tale Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
131,42211001,Tell Tale New Potatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
132,42212001,Tell Tale Onions ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
133,42213001,Tell Tale Oranges ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
134,42214001,Tell Tale Party Nuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
135,42215001,Tell Tale Peaches ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
136,42216001,Tell Tale Plums ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
137,42217001,Tell Tale Potatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
138,42218001,Tell Tale Prepared Salad ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
139,42219001,Tell Tale Red Delcious Apples ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
140,42220001,Tell Tale Red Pepper ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
141,42221001,Tell Tale Shitake Mushrooms ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
142,42222001,Tell Tale Squash ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
143,42223001,Tell Tale Summer Squash ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
144,42224001,Tell Tale Sweet Onion ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
145,42225001,Tell Tale Sweet Peas ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
146,42226001,Tell Tale Tangerines ,Fresh Fruit,Fresh Fruit,Fresh Fruit,Produce,Food,1,AU,Mapped from old item type into new subcategory
147,42227001,Tell Tale Tomatos ,Fresh Vegetables,Fresh Vegetables,Fresh Vegetables,Produce,Food,1,AU,Mapped from old item type into new subcategory
148,42228001,Tell Tale Walnuts ,Nuts,Nuts,Nuts,Produce,Food,1,AU,Mapped from old item type into new subcategory
149,42229001,Cake Dreamies Creme Kakes,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
150,42230001,Cake Kandy Kake Peanut Butter,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
151,42231001,Cake Koffee Kake Cream Filled,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
152,42232001,Cupcakes Buttercream,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
153,42233001,Cupcakes Chocolate,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
154,42234001,Cupcakes Krimpet Butterscotch,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
155,42235001,Cupcakes Lemon,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
156,42236001,Pie Apple,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
157,42237001,Pie Cherry,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
158,42238001,Pie Chocolate Klair,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
159,42239001,Pie Lemon,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
160,42240001,Pie Peach,Baked Goods Other than Bread,Donuts,Donuts,Snack Foods,Food,131,SJ,manufacturer of donut-like products
161,42241001,Hot Cocoa Mix Marshmallows,,Chocolate,Chocolate,Beverages,Drink,181,AU,character match for Hot Cocoa
162,42242001,Hot Cocoa Mix Milk Chocolate,Soda/Juice/Drinks,Chocolate,Chocolate,Beverages,Drink,181,AU,character match for Hot Cocoa
163,42243001,Hot Cocoa Mix Milk Chocolate Canister,Soda/Juice/Drinks,Chocolate,Chocolate,Beverages,Drink,181,AU,character match for Hot Cocoa
164,42244001,Hot Cocoa Mix Milk Chocolate No Sugar Added,Soda/Juice/Drinks,Chocolate,Chocolate,Beverages,Drink,181,AU,character match for Hot Cocoa
165,42245001,Swell Canned Mixed Fruit ,Canned Fruit,Canned Fruit,Canned Fruit,Canned Products,Food,1,AU,Mapped from old item type into new subcategory
166,42246001,Swell Canned Peaches ,Canned Fruit,Canned Fruit,Canned Fruit,Canned Products,Food,1,AU,Mapped from old item type into new subcategory
167,42247001,Super Brown Sugar ,Sugar,Sugar,Sugar,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
168,42248001,Super Canola Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
169,42249001,Super Chunky Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
170,42250001,Super Corn Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
171,42251001,Super Creamy Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
172,42252001,Super Extra Chunky Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
173,42253001,Super Oregano ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
174,42254001,Super Pepper ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
175,42255001,Super Salt ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
176,42256001,Super Sesame Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
177,42257001,Super Vegetable Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
178,42258001,Super White Sugar ,Sugar,Sugar,Sugar,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
179,42259001,Sunset Counter Cleaner ,Cleaners,Cleaners,Cleaners,Household,Non-Consumable,251,AU,Comparison against set of known cleaner manufacturers and verified by hand
180,42260001,Sunset Glass Cleaner ,Cleaners,Cleaners,Cleaners,Household,Non-Consumable,251,AU,Comparison against set of known cleaner manufacturers and verified by hand
181,42261001,Sunset Room Freshener ,Deodorizers,Deodorizers,Deodorizers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
182,42262001,Sunset Toilet Bowl Cleaner ,Cleaners,Cleaners,Cleaners,Household,Non-Consumable,251,AU,Comparison against set of known cleaner manufacturers and verified by hand
183,42263001,Sunny Delight Original,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
184,42264001,Orange Citrus Punch Smooth,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
185,42265001,Orange Citrus Punch Tangy Original,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
186,42266001,Bread Raisin,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,241,AU,Character match with Bread and edge cases handled
187,42267001,Giant Bread,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,241,AU,Character match with Bread and edge cases handled
188,42268001,BBQ Sauce Original,,Sauces,Sauces,Baking Goods,Food,191,SJ,character match Sauce
