ProductKey,StoreKey,QuarterAndYear,Quarter,Year,CasesPurchasedToDate,CasesPurchasedThisQuarter,CasesOnHand,TotalCostToStoreThisQuarter,TotalSoldByStoreThisQuarter,TotalCostToStoreThisYTD,TotalSoldByStoreThisYTD
1,8,Q2 2024,2,2024,420,209,4,6244.92,2491.0,12549.6,5001.0
2,8,Q2 2024,2,2024,423,207,5,4446.36,2480.0,9086.04,5046.0
3,8,Q2 2024,2,2024,420,209,5,10006.92,2499.0,20109.6,4997.0
4,8,Q2 2024,2,2024,432,215,5,10294.2,2566.0,20684.16,5146.0
5,8,Q2 2024,2,2024,428,212,5,7606.56,2558.0,15356.64,5113.0
6,8,Q2 2024,2,2024,417,205,5,4920.0,2452.0,10008.0,4973.0
7,8,Q2 2024,2,2024,421,207,4,28789.56,2481.0,58552.68,5020.0
8,8,Q2 2024,2,2024,428,213,4,12754.44,2572.0,25628.64,5105.0
9,8,Q2 2024,2,2024,411,199,4,8572.92,2399.0,17705.88,4907.0
10,8,Q2 2024,2,2024,420,207,4,11898.36,2486.0,24141.6,5018.0
11,8,Q2 2024,2,2024,62,31,1,2600.28,383.0,5200.56,728.0
12,8,Q2 2024,2,2024,422,209,4,2508.0,2519.0,5064.0,5036.0
13,8,Q2 2024,2,2024,423,213,5,6364.44,2547.0,12639.24,5042.0
14,8,Q2 2024,2,2024,421,209,4,7498.92,2512.0,15105.48,5036.0
15,8,Q2 2024,2,2024,425,205,5,7355.4,2451.0,15249.0,5059.0
16,8,Q2 2024,2,2024,421,211,5,8836.68,2547.0,17631.48,5027.0
17,8,Q2 2024,2,2024,419,209,3,10006.92,2509.0,20061.72,5001.0
18,8,Q2 2024,2,2024,423,209,4,8752.92,2500.0,17715.24,5048.0
19,8,Q2 2024,2,2024,63,29,1,870.0,350.0,1890.0,736.0
20,8,Q2 2024,2,2024,435,214,4,7678.32,2573.0,15607.8,5205.0
21,8,Q2 2024,2,2024,422,206,4,18020.88,2482.0,36916.56,5035.0
22,8,Q2 2024,2,2024,422,212,4,18545.76,2533.0,36916.56,5031.0
23,8,Q2 2024,2,2024,418,207,5,3825.36,2474.0,7724.64,4976.0
24,8,Q2 2024,2,2024,422,210,4,1965.6,2527.0,3949.92,5039.0
25,8,Q2 2024,2,2024,428,213,5,6696.72,2545.0,13456.32,5093.0
26,8,Q2 2024,2,2024,420,208,4,8536.32,2506.0,17236.8,5015.0
27,8,Q2 2024,2,2024,424,210,4,3376.8,2518.0,6817.92,5051.0
28,8,Q2 2024,2,2024,415,211,5,2152.2,2521.0,4233.0,4936.0
29,8,Q2 2024,2,2024,421,214,4,6599.76,2587.0,12983.64,5040.0
30,8,Q2 2024,2,2024,427,211,5,2050.92,2513.0,4150.44,5077.0
31,8,Q2 2024,2,2024,423,211,4,7089.6,2537.0,14212.8,5042.0
