ProductKey,StoreKey,QuarterAndYear,Quarter,Year,CasesPurchasedToDate,CasesPurchasedThisQuarter,CasesOnHand,TotalCostToStoreThisQuarter,TotalSoldByStoreThisQuarter,TotalCostToStoreThisYTD,TotalSoldByStoreThisYTD
1,8,Q1 2024,1,2024,211,211,5,6304.68,2510.0,6304.68,2510.0
2,8,Q1 2024,1,2024,216,216,4,4639.68,2566.0,4639.68,2566.0
3,8,Q1 2024,1,2024,211,211,5,10102.68,2498.0,10102.68,2498.0
4,8,Q1 2024,1,2024,217,217,4,10389.96,2580.0,10389.96,2580.0
5,8,Q1 2024,1,2024,216,216,5,7750.08,2555.0,7750.08,2555.0
6,8,Q1 2024,1,2024,212,212,4,5088.0,2521.0,5088.0,2521.0
7,8,Q1 2024,1,2024,214,214,5,29763.12,2539.0,29763.12,2539.0
8,8,Q1 2024,1,2024,215,215,5,12874.2,2533.0,12874.2,2533.0
9,8,Q1 2024,1,2024,212,212,5,9132.96,2508.0,9132.96,2508.0
10,8,Q1 2024,1,2024,213,213,4,12243.24,2532.0,12243.24,2532.0
11,8,Q1 2024,1,2024,31,31,2,2600.28,345.0,2600.28,345.0
12,8,Q1 2024,1,2024,213,213,5,2556.0,2517.0,2556.0,2517.0
13,8,Q1 2024,1,2024,210,210,4,6274.8,2495.0,6274.8,2495.0
14,8,Q1 2024,1,2024,212,212,4,7606.56,2524.0,7606.56,2524.0
15,8,Q1 2024,1,2024,220,220,5,7893.6,2608.0,7893.6,2608.0
16,8,Q1 2024,1,2024,210,210,5,8794.8,2480.0,8794.8,2480.0
17,8,Q1 2024,1,2024,210,210,4,10054.8,2492.0,10054.8,2492.0
18,8,Q1 2024,1,2024,214,214,3,8962.32,2548.0,8962.32,2548.0
19,8,Q1 2024,1,2024,34,34,2,1020.0,386.0,1020.0,386.0
20,8,Q1 2024,1,2024,221,221,4,7929.48,2632.0,7929.48,2632.0
21,8,Q1 2024,1,2024,216,216,5,18895.68,2553.0,18895.68,2553.0
22,8,Q1 2024,1,2024,210,210,4,18370.8,2498.0,18370.8,2498.0
23,8,Q1 2024,1,2024,211,211,5,3899.28,2502.0,3899.28,2502.0
24,8,Q1 2024,1,2024,212,212,5,1984.32,2512.0,1984.32,2512.0
25,8,Q1 2024,1,2024,215,215,5,6759.6,2548.0,6759.6,2548.0
26,8,Q1 2024,1,2024,212,212,5,8700.48,2509.0,8700.48,2509.0
27,8,Q1 2024,1,2024,214,214,5,3441.12,2533.0,3441.12,2533.0
28,8,Q1 2024,1,2024,204,204,4,2080.8,2415.0,2080.8,2415.0
29,8,Q1 2024,1,2024,207,207,5,6383.88,2453.0,6383.88,2453.0
30,8,Q1 2024,1,2024,216,216,4,2099.52,2564.0,2099.52,2564.0
31,8,Q1 2024,1,2024,212,212,5,7123.2,2505.0,7123.2,2505.0
32,8,Q1 2024,1,2024,208,208,4,6514.56,2462.0,6514.56,2462.0
33,8,Q1 2024,1,2024,211,211,5,4329.72,2501.0,4329.72,2501.0
34,8,Q1 2024,1,2024,207,207,4,6060.96,2452.0,6060.96,2452.0
35,8,Q1 2024,1,2024,209,209,5,4163.28,2477.0,4163.28,2477.0
36,8,Q1 2024,1,2024,214,214,5,6240.24,2528.0,6240.24,2528.0
37,8,Q1 2024,1,2024,218,218,4,7037.04,2591.0,7037.04,2591.0
38,8,Q1 2024,1,2024,214,214,4,1900.32,2529.0,1900.32,2529.0
39,8,Q1 2024,1,2024,214,214,4,5033.28,2553.0,5033.28,2553.0
40,8,Q1 2024,1,2024,215,215,5,9391.2,2552.0,9391.2,2552.0
41,8,Q1 2024,1,2024,217,217,5,3697.68,2576.0,3697.68,2576.0
42,8,Q1 2024,1,2024,214,214,4,4545.36,2532.0,4545.36,2532.0
43,8,Q1 2024,1,2024,208,208,5,7912.32,2462.0,7912.32,2462.0
44,8,Q1 2024,1,2024,215,215,4,6192.0,2551.0,6192.0,2551.0
45,8,Q1 2024,1,2024,220,220,5,4804.8,2592.0,4804.8,2592.0
46,8,Q1 2024,1,2024,207,207,4,7327.8,2466.0,7327.8,2466.0
47,8,Q1 2024,1,2024,216,216,4,4561.92,2568.0,4561.92,2568.0
48,8,Q1 2024,1,2024,216,216,4,3006.72,2564.0,3006.72,2564.0
49,8,Q1 2024,1,2024,211,211,5,1696.44,2489.0,1696.44,2489.0
50,8,Q1 2024,1,2024,220,220,5,6679.2,2608.0,6679.2,2608.0
51,8,Q1 2024,1,2024,208,208,4,7962.24,2471.0,7962.24,2471.0
52,8,Q1 2024,1,2024,210,210,5,6627.6,2481.0,6627.6,2481.0
53,8,Q1 2024,1,2024,214,214,3,6574.08,2562.0,6574.08,2562.0
54,8,Q1 2024,1,2024,216,216,5,7413.12,2560.0,7413.12,2560.0
55,8,Q1 2024,1,2024,209,209,5,4915.68,2482.0,4915.68,2482.0
56,8,Q1 2024,1,2024,216,216,4,6480.0,2559.0,6480.0,2559.0
57,8,Q1 2024,1,2024,211,211,4,9140.52,2509.0,9140.52,2509.0
58,8,Q1 2024,1,2024,215,215,3,9984.6,2572.0,9984.6,2572.0
59,8,Q1 2024,1,2024,217,217,4,7629.72,2579.0,7629.72,2579.0
60,8,Q1 2024,1,2024,212,212,3,3943.2,2536.0,3943.2,2536.0
61,8,Q1 2024,1,2024,219,219,4,1445.4,2600.0,1445.4,2600.0
62,8,Q1 2024,1,2024,210,210,4,3956.4,2506.0,3956.4,2506.0
63,8,Q1 2024,1,2024,219,219,4,9408.24,2599.0,9408.24,2599.0
64,8,Q1 2024,1,2024,209,209,5,1554.96,2475.0,1554.96,2475.0
65,8,Q1 2024,1,2024,211,211,5,5595.72,2497.0,5595.72,2497.0
66,8,Q1 2024,1,2024,216,216,4,2280.96,2567.0,2280.96,2567.0
67,8,Q1 2024,1,2024,216,216,5,3628.8,2547.0,3628.8,2547.0
68,8,Q1 2024,1,2024,211,211,5,3494.16,2491.0,3494.16,2491.0
69,8,Q1 2024,1,2024,18,18,1,1725.84,194.0,1725.84,194.0
70,8,Q1 2024,1,2024,18,18,2,3237.84,192.0,3237.84,192.0
71,8,Q1 2024,1,2024,19,19,2,3873.72,202.0,3873.72,202.0
72,8,Q1 2024,1,2024,18,18,1,1725.84,193.0,1725.84,193.0
73,8,Q1 2024,1,2024,18,18,2,3237.84,187.0,3237.84,187.0
74,8,Q1 2024,1,2024,17,17,2,1629.96,175.0,1629.96,175.0
75,8,Q1 2024,1,2024,22,22,2,4485.36,236.0,4485.36,236.0
76,8,Q1 2024,1,2024,211,211,4,2000.28,2509.0,2000.28,2509.0
77,8,Q1 2024,1,2024,211,211,5,4000.56,2504.0,4000.56,2504.0
78,8,Q1 2024,1,2024,214,214,4,4391.28,2553.0,4391.28,2553.0
79,8,Q1 2024,1,2024,212,212,3,4604.64,2526.0,4604.64,2526.0
80,8,Q1 2024,1,2024,209,209,4,4689.96,2491.0,4689.96,2491.0
81,8,Q1 2024,1,2024,218,218,4,9548.4,2587.0,9548.4,2587.0
82,8,Q1 2024,1,2024,212,212,4,8751.36,2510.0,8751.36,2510.0
83,8,Q1 2024,1,2024,212,212,5,6334.56,2493.0,6334.56,2493.0
84,8,Q1 2024,1,2024,210,210,4,6300.0,2499.0,6300.0,2499.0
85,8,Q1 2024,1,2024,213,213,4,6390.0,2541.0,6390.0,2541.0
86,8,Q1 2024,1,2024,213,213,5,6390.0,2531.0,6390.0,2531.0
87,8,Q1 2024,1,2024,217,217,4,6510.0,2583.0,6510.0,2583.0
88,8,Q1 2024,1,2024,210,210,3,7560.0,2500.0,7560.0,2500.0
89,8,Q1 2024,1,2024,220,220,4,7920.0,2621.0,7920.0,2621.0
90,8,Q1 2024,1,2024,219,219,4,7884.0,2595.0,7884.0,2595.0
91,8,Q1 2024,1,2024,209,209,5,7524.0,2463.0,7524.0,2463.0
